"filename", "language", "JavaScript", "JSON", "HTML", "JSON with Comments", "Vue", "Markdown", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\base\BaseLevel.vue", "Vue", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 7, 39
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\cardbox\CardBox.vue", "Vue", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 10, 65
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\cardbox\CardBoxClient.vue", "Vue", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 9, 83
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\cardbox\CardBoxComponentBody.vue", "Vue", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\cardbox\CardBoxComponentEmpty.vue", "Vue", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\cardbox\CardBoxComponentFooter.vue", "Vue", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\cardbox\CardBoxComponentHeader.vue", "Vue", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 41
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\cardbox\CardBoxComponentTitle.vue", "Vue", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\cardbox\CardBoxModal.vue", "Vue", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 11, 84
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\cardbox\CardBoxTransaction.vue", "Vue", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 5, 84
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\cardbox\CardBoxWidget.vue", "Vue", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 3, 65
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\charts\LineChart.vue", "Vue", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 9, 63
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\charts\chart.config.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 55
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\form\FormCheckRadio.vue", "Vue", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 6, 47
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\form\FormCheckRadioGroup.vue", "Vue", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 5, 55
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\form\FormControl.vue", "Vue", 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 20, 156
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\form\FormControlIcon.vue", "Vue", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\form\FormField.vue", "Vue", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 8, 48
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\form\FormFilePicker.vue", "Vue", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 17, 115
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\navbar\NavBar.vue", "Vue", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 6, 47
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\navbar\NavBarItem.vue", "Vue", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 19, 109
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\navbar\NavBarItemPlain.vue", "Vue", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
